"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"4","One family only: Married or same-sex civil partnership couple: No children","KS105EW0005","Household Composition",10000,7,"20100","Value",68,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d4d20100",29,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"5","One family only: Married or same-sex civil partnership couple: Dependent children","KS105EW0006","Household Composition",10000,8,"20100","Value",78,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d5d20100",30,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"6","One family only: Married or same-sex civil partnership couple: All children non-dependent","KS105EW0007","Household Composition",10000,9,"20100","Value",28,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d6d20100",31,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"202","One family only: Cohabiting couple","202","Household Composition",10000,10,"20100","Value",27,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d7a8a9d20100",32,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"7","One family only: Cohabiting couple: No children","KS105EW0008","Household Composition",10000,11,"20100","Value",17,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d7d20100",33,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"8","One family only: Cohabiting couple: Dependent children","KS105EW0009","Household Composition",10000,12,"20100","Value",9,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d8d20100",34,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"9","One family only: Cohabiting couple: All children non-dependent","KS105EW0010","Household Composition",10000,13,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d9d20100",35,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"203","One family only: Lone parent","203","Household Composition",10000,14,"20100","Value",40,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d10a11d20100",36,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"10","One family only: Lone parent: Dependent children","KS105EW0011","Household Composition",10000,15,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d10d20100",37,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"11","One family only: Lone parent: All children non-dependent","KS105EW0012","Household Composition",10000,16,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d11d20100",38,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"300","Other household types","300","Household Composition",10000,17,"20100","Value",21,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d12a13a14a15d20100",39,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"12","Other household types: With dependent children","KS105EW0013","Household Composition",10000,18,"20100","Value",6,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d12d20100",40,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"13","Other household types: All full-time students","KS105EW0014","Household Composition",10000,19,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d13d20100",41,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"14","Other household types: All aged 65 and over","KS105EW0015","Household Composition",10000,20,"20100","Value",2,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d14d20100",42,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"15","Other household types: Other","KS105EW0016","Household Composition",10000,21,"20100","Value",13,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d15d20100",43,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Household composition","KS105EW0001","Household Composition",10000,0,"20100","Value",619,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d0d20100",44,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"100","One person household","100","Household Composition",10000,1,"20100","Value",176,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d1a2d20100",45,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"1","One person household: Aged 65 and over","KS105EW0002","Household Composition",10000,2,"20100","Value",87,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d1d20100",46,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"2","One person household: Other","KS105EW0003","Household Composition",10000,3,"20100","Value",89,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d2d20100",47,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"200","One family household","200","Household Composition",10000,4,"20100","Value",438,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d3a4a5a6a7a8a9a10a11d20100",48,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"3","One family only: All aged 65 and over","KS105EW0004","Household Composition",10000,5,"20100","Value",120,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d3d20100",49,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"201","One family only: Married or same-sex civil partnership couple","201","Household Composition",10000,6,"20100","Value",241,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d4a5a6d20100",50,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"4","One family only: Married or same-sex civil partnership couple: No children","KS105EW0005","Household Composition",10000,7,"20100","Value",118,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d4d20100",51,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"5","One family only: Married or same-sex civil partnership couple: Dependent children","KS105EW0006","Household Composition",10000,8,"20100","Value",102,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d5d20100",52,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"6","One family only: Married or same-sex civil partnership couple: All children non-dependent","KS105EW0007","Household Composition",10000,9,"20100","Value",21,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d6d20100",53,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"202","One family only: Cohabiting couple","202","Household Composition",10000,10,"20100","Value",38,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d7a8a9d20100",54,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"7","One family only: Cohabiting couple: No children","KS105EW0008","Household Composition",10000,11,"20100","Value",28,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d7d20100",55,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"8","One family only: Cohabiting couple: Dependent children","KS105EW0009","Household Composition",10000,12,"20100","Value",8,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d8d20100",56,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"9","One family only: Cohabiting couple: All children non-dependent","KS105EW0010","Household Composition",10000,13,"20100","Value",2,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d9d20100",57,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"203","One family only: Lone parent","203","Household Composition",10000,14,"20100","Value",39,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d10a11d20100",58,6864
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"10","One family only: Lone parent: Dependent children","KS105EW0011","Household Composition",10000,15,"20100","Value",24,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912934d0d10d20100",59,6864
