"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_HHCOMP_15","C2021_HHCOMP_15_NAME","C2021_HHCOMP_15_CODE","C2021_HHCOMP_15_TYPE","C2021_HHCOMP_15_TYPECODE","C2021_HHCOMP_15_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1005","Single family household: Lone parent family","1005","Household composition",1000000,14,"20100","Value",34,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d10a11d20100",36,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"10","Single family household: Lone parent family: With dependent children","_10","Household composition",1000000,15,"20100","Value",17,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d10d20100",37,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"11","Single family household: Lone parent family: All children non-dependent","_11","Household composition",1000000,16,"20100","Value",17,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d11d20100",38,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1006","Single family household: Other single family household","1006","Household composition",1000000,17,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d12d20100",39,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"12","Single family household: Other single family household: Other family composition","_12","Household composition",1000000,18,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d12d20100",40,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1007","Other household types","1007","Household composition",1000000,19,"20100","Value",8,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d13a14d20100",41,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"13","Other household types: With dependent children","_13","Household composition",1000000,20,"20100","Value",2,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d13d20100",42,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"14","Other household types: Other, including all full-time students and all aged 66 years and over","_14","Household composition",1000000,21,"20100","Value",6,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d14d20100",43,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"0","Total: All households","0","Household composition",1000000,0,"20100","Value",656,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d0d20100",44,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1001","One-person household","1001","Household composition",1000000,1,"20100","Value",199,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d1a2d20100",45,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1","One-person household: Aged 66 years and over","_1","Household composition",1000000,2,"20100","Value",122,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d1d20100",46,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"2","One-person household: Other","_2","Household composition",1000000,3,"20100","Value",77,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d2d20100",47,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1002","Single family household","1002","Household composition",1000000,4,"20100","Value",439,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d3a4a5a6a7a8a9a10a11a12d20100",48,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"3","Single family household: All aged 66 years and over","_3","Household composition",1000000,5,"20100","Value",144,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d3d20100",49,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1003","Single family household: Married or civil partnership couple","1003","Household composition",1000000,6,"20100","Value",210,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d4a5a6d20100",50,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"4","Single family household: Married or civil partnership couple: No children","_4","Household composition",1000000,7,"20100","Value",103,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d4d20100",51,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"5","Single family household: Married or civil partnership couple: Dependent children","_5","Household composition",1000000,8,"20100","Value",82,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d5d20100",52,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"6","Single family household: Married or civil partnership couple: All children non-dependent","_6","Household composition",1000000,9,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d6d20100",53,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1004","Single family household: Cohabiting couple family","1004","Household composition",1000000,10,"20100","Value",53,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d7a8a9d20100",54,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"7","Single family household: Cohabiting couple family: No children","_7","Household composition",1000000,11,"20100","Value",34,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d7d20100",55,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"8","Single family household: Cohabiting couple family: With dependent children","_8","Household composition",1000000,12,"20100","Value",17,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d8d20100",56,6908
