"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_HHSIZE_10","C2021_HHSIZE_10_NAME","C2021_HHSIZE_10_CODE","C2021_HHSIZE_10_TYPE","C2021_HHSIZE_10_TYPECODE","C2021_HHSIZE_10_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",7,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350065d7d20100",37,3140
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350065d8d20100",38,3140
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350065d9d20100",39,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"0","Total: All households","0","Household size",1000000,0,"20100","Value",674,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d0d20100",40,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d1d20100",41,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",176,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d2d20100",42,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",270,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d3d20100",43,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",97,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d4d20100",44,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",94,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d5d20100",45,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",32,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d6d20100",46,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",4,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d7d20100",47,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d8d20100",48,3140
"2021","2021","2021","date",0,0,"633350064","Bradford 002A","E01010691","2021 super output areas - lower layer",151,4,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350064d9d20100",49,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"0","Total: All households","0","Household size",1000000,0,"20100","Value",573,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d0d20100",50,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d1d20100",51,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",107,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d2d20100",52,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",239,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d3d20100",53,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",85,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d4d20100",54,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",110,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d5d20100",55,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",23,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d6d20100",56,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",8,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d7d20100",57,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d8d20100",58,3140
"2021","2021","2021","date",0,0,"633350066","Bradford 002B","E01010693","2021 super output areas - lower layer",151,5,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350066d9d20100",59,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"0","Total: All households","0","Household size",1000000,0,"20100","Value",628,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d0d20100",60,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d1d20100",61,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",129,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d2d20100",62,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",298,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d3d20100",63,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",69,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d4d20100",64,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",90,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d5d20100",65,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",37,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d6d20100",66,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d7d20100",67,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d8d20100",68,3140
"2021","2021","2021","date",0,0,"633350067","Bradford 002C","E01010694","2021 super output areas - lower layer",151,6,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350067d9d20100",69,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"0","Total: All households","0","Household size",1000000,0,"20100","Value",848,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d0d20100",70,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d1d20100",71,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",405,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d2d20100",72,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",276,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d3d20100",73,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",90,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d4d20100",74,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",58,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d5d20100",75,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",17,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d6d20100",76,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",2,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d7d20100",77,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d8d20100",78,3140
"2021","2021","2021","date",0,0,"633350068","Bradford 002D","E01010695","2021 super output areas - lower layer",151,7,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350068d9d20100",79,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"0","Total: All households","0","Household size",1000000,0,"20100","Value",622,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d0d20100",80,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d1d20100",81,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",132,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d2d20100",82,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",218,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d3d20100",83,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",106,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d4d20100",84,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",128,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d5d20100",85,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",31,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d6d20100",86,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d7d20100",87,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",2,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d8d20100",88,3140
"2021","2021","2021","date",0,0,"633350069","Bradford 002E","E01010696","2021 super output areas - lower layer",151,8,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350069d9d20100",89,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"0","Total: All households","0","Household size",1000000,0,"20100","Value",637,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d0d20100",90,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d1d20100",91,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",200,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d2d20100",92,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",249,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d3d20100",93,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",75,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d4d20100",94,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",90,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d5d20100",95,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",15,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d6d20100",96,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",6,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d7d20100",97,3140
"2021","2021","2021","date",0,0,"633350070","Bradford 002F","E01010697","2021 super output areas - lower layer",151,9,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",2,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350070d8d20100",98,3140
